question_id,industry_type,question_text,topic_category,option_type,difficulty_level,report_section,learning_objective,question_note,option_A,option_A_note,option_B,option_B_note,option_C,option_C_note,option_D,option_D_note,option_E,option_E_note,follow_up,allow_custom_answer,allow_skip,free_answer_note,report_topic,learning_goal,answer_tags,
B006,餐飲業,餐廳是否設定減排目標與時間表？,邊界設定與組織資訊,single,intermediate,減排目標與時間進程,能理解企業是否具備可量化與可追蹤的減排目標,設定減排目標有助於監測並改善能源與廢棄物管理。例如，企業可設定 5 年內減少 30% 廚餘、10% 電力消耗，或 2025 年前全面使用可回收包裝材料。清楚的目標可幫助內部執行團隊規劃有效的策略，提升環保形象。,沒有設定,目前無減排目標，可能無法符合未來的法規或市場要求。,有初步方向但未明確,可能有節能或減廢計畫，但尚未有具體的行動方案或時間表。,設定減排目標但無時間表,計畫降低碳排放，但尚未制定明確執行時程與評估機制。,已設定明確目標（如 2030 年減少 20%）,餐廳已有具體減碳目標，例如 5 年內減少 20% 碳排放，並有對應的執行計畫。,不知道/不確定,可從能源帳單、食材採購記錄等數據開始，評估可能的減排空間。,是否曾提出具體碳減量目標？是否設定完成時間？是否以數據追蹤成效？,TRUE,TRUE,請說明目前是否有設定碳減量目標，或有哪些已開始的減排行動,減碳政策制定現況,檢視企業是否具備明確政策與實質減碳規劃,"減碳目標, 時程管理, 政策落實",
B007,餐飲業,餐廳是否需要向外部提供碳排放報告？,邊界設定與組織資訊,single,intermediate,報告義務與合規揭露,判斷企業是否涉及外部揭露義務，並準備報告制度,部分餐飲業者須向供應商、ESG 評鑑機構或政府提交碳排放報告。例如，供應大型企業、飯店或外送平台的餐廳可能需提供環境影響數據。,不需要,內部管理用途，不對外公開碳排放數據。,內部報告,主要用於企業內部決策，如評估能效與減排行動。,依供應商或客戶要求提供,若企業為連鎖品牌供應商，可能須提交 ESG 碳排放報告。,依法規要求定期報告,若政府或業界法規要求（如 ISO 14064），餐廳需定期提交報告。,不知道/不確定,可先確認合作夥伴、政府法規是否有相關要求，避免未來合規風險。,是否因政府或合作對象要求提供碳盤查結果？是否瞭解哪些內容需揭露？,TRUE,TRUE,請分享是否曾接觸過外部報告需求，如申請標章、投標或供應鏈要求,碳揭露與對外溝通,建立對外部揭露壓力與報告需求的基本認識,"外部溝通, ESG報告, 政策合規",
B008,餐飲業,餐飲業在碳盤查上的主要挑戰是什麼？,邊界設定與組織資訊,multiple,intermediate,碳盤查挑戰診斷,協助企業盤點內部最難以掌握或處理的盤查障礙,餐飲業的主要碳排放來自於烹飪設備（如瓦斯爐、烤箱）、冷藏設備、運輸與食材採購。例如，外送服務的碳排放大多來自機車、汽車運輸，因此 Uber Eats、Foodpanda 已開始要求使用電動機車降低碳排放。,廚房能源消耗,主要來自瓦斯、電力使用，如烹飪設備、冷藏設備等。,食材供應鏈排放,來自食材生產、加工與運輸，例如進口食材通常比本地採購的碳足跡更高。,外送與物流碳排,若餐廳有外送服務或依賴食材配送，需考慮運輸的碳排放影響。,廢棄物管理,來自食材浪費、包裝垃圾、一次性餐具等，若未妥善處理可能會增加碳排放。,不知道/不確定,可先記錄食材進貨、電力與瓦斯使用情況，再進一步分析。,是否覺得資料難以收集？是否部門協調困難？或不知道從哪開始？,TRUE,TRUE,請描述餐廳在開始盤查時最困難的部分，或曾放棄的原因,實務挑戰與系統建立,理解碳盤查在執行層面的實際困難與推進障礙,"難點分析, 系統推動, 數據困境",
B009,餐飲業,餐廳過去是否有碳盤查或永續訓練？,邊界設定與組織資訊,single,beginner,永續經驗與前期基礎,評估企業是否具備碳盤查與永續管理的基礎歷程,餐廳若無碳盤查經驗，可從簡單數據（如能源使用、食材浪費、包裝回收）開始，並逐步導入完整的 ESG 盤查架構。例如，日本連鎖餐廳開始使用 AI 監測食材浪費，確保食材管理更有效率。,沒有經驗,餐廳尚未執行過碳盤查或 ESG 相關訓練，建議先從基礎數據記錄開始。,曾參加基礎培訓,可能有參加過 ESG 相關課程，但尚未實際應用於碳盤查。,內部曾執行碳盤查,餐廳過去有紀錄能源使用、廢棄物管理等碳排放數據。,由第三方協助執行,餐廳曾聘請外部顧問或機構執行碳盤查，提高數據的準確性與可信度。,不知道/不確定,可從過去的能源帳單、食材記錄等檢視是否曾經進行盤查。,是否曾安排內部永續教育？參加過哪些外部課程或訓練？,TRUE,TRUE,若有訓練經驗，請分享課程內容、主辦單位或重點收穫,永續訓練與教育推動,了解企業在永續知識與碳盤查能力培養上的投入程度,"ESG訓練, 員工教育, 碳盤查能力",
B010,餐飲業,餐廳內部是否有明確的碳盤查負責人與執行團隊？,邊界設定與組織資訊,single,beginner,責任分工與管理制度,確認企業是否已建立專責人力與內部組織機制,確定負責人可確保碳盤查數據完整並落實減排措施。若無專職人員，可由店長、主廚、採購等核心成員負責。例如，星巴克設有專門 ESG 團隊，定期追蹤碳足跡並調整減排行動，此舉能有效提升企業永續發展目標。,沒有明確負責人,目前無人專責碳盤查，可能影響數據準確性與減排行動落實度。,由店長或主管兼職負責,可能由經營團隊或廚房人員兼任，但缺乏標準化流程。,有完整的環境管理團隊,設有 ESG 團隊或環境部門，負責碳盤查與減排行動。,外部顧問協助,餐廳聘請 ESG 顧問協助制定標準，確保合規與數據準確性。,不知道/不確定,可先評估是否有定期紀錄能源使用、食材供應數據，再決定是否需設立專責團隊。,是否有指派具體的碳盤查負責人？是否成立執行小組或協調窗口？,TRUE,TRUE,若目前由多位人員負責，請描述各自職責或運作方式,永續推動角色與資源,確認企業是否具備基本的永續推動人力與責任配置,"負責人設定, 組織協作, 永續治理",
S001,餐飲業,溫室氣體排放的主要來源是什麼？,排放源辨識與確認,multiple,beginner,排放源分類診斷,能辨識公司溫室氣體的各類主要排放來源,餐飲業的碳排放可大致分為 範疇一（直接排放）、範疇二（間接排放） 及 範疇三（供應鏈影響）。範疇一包括燃氣爐具、烤箱、冷氣及其他直接燃燒燃料的設備，範疇二則涵蓋購電的碳排放，如冷藏庫及店內照明。而範疇三涉及供應鏈，包括食材採購、外送運輸、包裝材料的使用及廢棄物處理。,能源使用,來自廚房燃氣爐、烤箱、冷藏庫等電力或燃料設備的消耗。,運輸物流,餐廳外送、食材配送等影響物流的碳排放。,供應鏈,進口食材通常比本地採購的碳足跡更高，供應鏈管理是減碳關鍵。,建築物與設施,店面照明、冷氣等用電設備影響碳排放。,其他,可能包括冷媒洩漏、食材報廢等隱藏碳排放來源。,餐廳的碳排放會來自哪些地方？如廚房用電、物流、冷藏？,TRUE,TRUE,請說明您認為餐廳日常作業中哪些活動會產生碳排放,碳排放基礎認知,建立對溫室氣體排放來源的基本概念與分類能力,"範疇一, 範疇二, 範疇三, 排放來源",
S002,餐飲業,主要能源使用有哪些？,排放源辨識與確認,multiple,beginner,能源使用盤點,理解公司能源使用結構，為盤查提供基礎依據,餐飲業的能源使用決定了碳排放量，常見的能源包括電力（冷藏設備、照明）、燃氣（烹飪、熱水）與燃油（物流配送）。選擇低碳能源可有效減少碳排，例如使用再生能源或高效節能設備。,電力,冷藏、空調、照明等主要來自電力消耗，屬於範疇二排放。,天然氣,用於烹飪設備（如瓦斯爐、烤箱），屬於範疇一排放。,柴油,主要用於運輸，例如物流配送車輛的燃料消耗。,生質能,若餐廳使用生物燃料或太陽能，則可降低碳排放。,不知道/不確定,可透過電費帳單、燃氣發票等方式確認能源使用情況。,餐廳的主要能源是電力、瓦斯還是其他？是否有綠電或替代能源考量？,TRUE,TRUE,請描述餐廳使用的主要能源來源與使用比例,能源使用類型與影響,了解能源型態對碳排放的差異，奠定能源盤查的基礎,"能源結構, 範疇一, 範疇二",
S003,餐飲業,公司營運中是否有直接燃料燃燒？,排放源辨識與確認,single,beginner,直接排放辨識,判斷公司是否有來自燃燒設施的直接排放來源,燃料燃燒是範疇一排放的主要來源，例如瓦斯爐、烤爐與燒烤設備。若餐廳使用燃油發電機或燃氣鍋爐，碳排放量更高。為減少燃料燃燒的排放，可以考慮改用電磁爐、感應爐等高效能電器，或者使用綠色能源（如生質燃氣）。,沒有,主要依賴電力設備，沒有直接燃料燃燒排放。,只有少量（如瓦斯爐）,例如部分設備使用天然氣或 LPG，但範圍有限。,有固定設備燃燒（如鍋爐、發電機）,例如熱水鍋爐、燃氣供應系統等，需監控燃料消耗。,有大型燃燒設施（如工廠熔爐）,適用於中央廚房、食品加工廠等大規模生產設施。,不知道/不確定,可檢查餐廳的燃氣帳單或發電設備，確認燃料使用情況。,餐廳是否有使用鍋爐、瓦斯爐、汽車等會直接燃燒燃料的設備？,TRUE,TRUE,若有設備產生燃燒，請簡單描述其類型與使用情況,範疇一排放確認,協助辨識營運中屬於「直接排放」的活動與設備,"範疇一, 燃料燃燒, 自有設備",
S004,餐飲業,是否擁有自有車隊或外包物流服務？,排放源辨識與確認,single,beginner,運輸排放盤點,探討公司運輸與物流行為對碳排放的關聯,物流運輸的碳排放影響範疇一（自有車隊）與範疇三（外包物流）。若餐廳擁有車隊，應記錄燃油使用情況；若外包物流，則應要求供應商提供碳足跡報告，確保數據完整。,沒有,主要依靠供應商配送食材、外送平台送餐。,使用外包物流,例如與第三方物流公司合作，但仍需追蹤運輸碳排放。,自有車隊,餐廳擁有自己的運輸車輛，應監測燃油消耗與排放。,兩者皆有,可能有自有車隊，但仍依賴部分外包物流支援。,不知道/不確定,可檢查運輸記錄、供應商數據，確認物流模式。,是否使用自有車輛配送？或委外物流？是否統一管理？,TRUE,TRUE,請說明餐廳是否涉及車輛運輸，並描述其使用方式與歸屬,運輸碳排與邊界確認,辨別車輛排放歸屬於範疇一或三，釐清自營與外包的邊界劃分,"範疇一, 範疇三, 物流運輸",
S005,餐飲業,是否存在原物料採購？,排放源辨識與確認,single,beginner,採購鏈碳排影響,理解企業在供應鏈中採購行為對碳排的影響,食材採購是餐飲業碳排放的重要來源之一，涉及農業生產、運輸、加工及儲存。進口食材通常比本地採購的碳排放更高，因此許多環保餐廳已轉向本地農場採購，減少碳排放並支持永續農業。,沒有,主要依賴現有供應商，未直接參與食材採購決策。,少量採購,可能偶爾與本地農場或特定供應商合作。,大量採購並影響營運,需評估供應鏈碳排放，例如進口肉類的冷藏與運輸碳足跡。,影響環保與回收計劃,例如選擇可回收包裝、減少高碳排放原料（如紅肉）。,不知道/不確定,可從供應商報告或進貨單據了解原料來源與碳排影響,餐廳是否自行採購食材？來自本地或國外？供應商是否固定？,TRUE,TRUE,請說明食材採購的來源、模式與運輸情況,原物料與供應鏈排放,建立食材供應鏈碳足跡的基本認識，理解範疇三盤查範圍,"食材採購, 範疇三, 供應鏈分析",
S006,餐飲業,是否使用大量包裝材料？,排放源辨識與確認,single,beginner,範疇三排放與包裝碳足跡,辨識包裝材料對企業碳排的潛在影響與改善方向,餐飲業的包裝材料主要來自外帶與外送包裝，過度使用一次性塑膠、紙袋、吸管會增加 範疇三（供應鏈） 碳排放。可改用可回收材質（如甘蔗渣、PLA 生物塑膠），或鼓勵顧客自備容器。,沒有,餐廳主要以內用為主，包裝材料使用量低。,少量使用,可能會提供基本外帶包裝，但未使用額外裝飾或塑膠材質。,主要產品需大量包裝,例如外送為主要業務，會使用塑膠袋、紙盒等大量包裝。,影響環保與回收計劃,若餐廳未考慮環保包裝，將影響回收與碳盤查精準度。,不知道/不確定,可先記錄餐廳包裝使用情況，並查看供應商是否提供環保選項。,是否會使用一次性容器、塑膠包材或外送包裝？是否曾考慮改用可回收或可重複使用的材質？,TRUE,TRUE,請說明您目前的包裝使用狀況與是否曾評估替代方案,包裝材料與碳排放,理解一次性包裝對碳排放的影響，建立替代與減量意識,"包裝材料, 一次性用品, 範疇三",
S007,餐飲業,是否有大量廢棄物處理需求？,排放源辨識與確認,single,beginner,廢棄物管理與碳排放,理解廢棄物種類與處理方式對碳排的影響,餐廳的廢棄物來自 食材殘渣、過期食品、一次性包裝，若未妥善處理，可能產生額外碳排放。可透過減少食材浪費、分類回收或與廚餘回收商合作，將廚餘製成有機肥料或生質能，以降低環境影響。,沒有,主要以內用為主，食材浪費與包裝垃圾較少。,只有基本生活廢棄物,主要為員工與顧客日常垃圾，如紙巾與餐具。,主要營運過程產生大量廢棄物,例如快餐店、中央廚房，會產生大量食材包裝與殘渣。,需特殊處理（如醫療廢棄物）,例如涉及食品加工業，可能產生油脂廢棄物或有機污泥。,不知道/不確定,可先計算每日垃圾總量，並與回收業者確認廢棄物種類。,廚餘與垃圾是否大量產生？如何分類與處理？是否有數據記錄？,TRUE,TRUE,請描述日常廢棄物管理方式與是否有建立紀錄或統計,廢棄物管理與碳盤查,建立廢棄物與碳排放的關聯認知，提升處理流程與資料管理意識,"廚餘, 垃圾處理, 廢棄物分類",
S008,餐飲業,是否有用水量大或特殊污水排放需求？,排放源辨識與確認,single,beginner,水資源使用與處理排放,認識用水與污水處理在碳管理中的角色,餐廳用水量大，主要用於 清洗餐具、烹調、清潔，熱水供應與污水處理皆影響碳排放。可透過 安裝節水設備、回收洗碗水、使用低耗水設備 減少用水量，並妥善處理油脂與污水，避免環境污染。,沒有,主要以乾式清潔為主，例如免洗餐具或少量清洗需求。,基本用水需求,主要用於餐具清洗、員工飲水與衛生設備。,主要作業依賴大量用水,例如自助餐廳、中央廚房，每日需大量水源清洗食材與設備。,產生污水需特殊處理,例如有油水分離設備、餐飲污水處理需求，可能影響排放管理。,不知道/不確定,可透過水費帳單與設備管理記錄來評估用水狀況。,餐廳是否用水量大？是否有洗滌、沖洗或特殊製程會排放大量污水？,TRUE,TRUE,若有特殊用水或污水排放情形，請描述來源與處理方式,用水與排放源補充,認識水資源使用與污水排放對碳盤查的潛在貢獻,"用水行為, 污水排放, 特殊設施",
S009,餐飲業,是否有其他特殊排放源？,排放源辨識與確認,single,beginner,特殊排放源鑑別,能辨識冷媒或化學品等非典型排放源與管理需求,餐廳的 冷凍冷藏設備 可能使用 高 GWP（全球變暖潛勢） 的冷媒，如 HFCs，其排放量遠高於 CO₂。建議定期檢查設備，避免冷媒洩漏，或改用低環境影響的冷媒，如 二氧化碳冷媒（CO₂）或氨（NH₃）。,沒有,主要設備以電力為主，無冷媒或其他額外排放源。,冷媒使用量少,例如只有少數冷藏櫃或小型製冰機。,冷媒與化學品使用量大,例如冷鏈倉儲、大型冷凍設備，可能產生大量冷媒排放。,需特別管理,例如需要遵守法規規範，冷媒使用需要定期監控與維護。,不知道/不確定,可查閱冷藏設備的冷媒類型與年度維護記錄，確認排放風險。,是否有其他非典型排放源？例如製冰機、冷媒洩漏、煙囪排放？,TRUE,TRUE,若有其他與營運相關但不常見的排放活動，請分享,特殊排放源辨識,引導使用者發現隱性或非標準排放源，補強完整性,"非典型排放, 冷媒, 製程排放",
S010,餐飲業,使用的排放因子來源是什麼？,排放源辨識與確認,single,intermediate,排放因子資料依據,了解碳排資料計算依據是否具權威性與一致性,排放因子 是計算碳排放的關鍵數據，常見來源包括 政府數據庫（如環保署）、產業報告、國際標準（如 ISO 14064）。若使用內部監測數據，需確保數據準確性，以提升盤查的可信度。,政府官方數據庫,例如台灣環保署、美國 EPA、IPCC 等提供的排放數據。,產業報告數據,來自 ESG 評鑑機構或產業協會的研究報告。,內部監測數據,餐廳自行測量能源與排放數據，例如智慧電表或燃氣計。,參考國際標準,例如使用 ISO 14064、GHG Protocol 指南等國際標準計算。,不知道/不確定,若不確定，可先參考政府或供應商提供的排放數據,是否知道排放係數的來源？例如是政府公告還是平台提供？,TRUE,TRUE,若曾使用或看過排放係數，請說明其來源與適用範圍,計算依據與資料來源,瞭解排放係數對碳盤查計算準確度的影響，建立資料來源判斷能力,"排放係數, 資料來源, 計算依據",
S011,餐飲業,溫室氣體排放計算方法是什麼？,排放源辨識與確認,single,intermediate,排放計算方法與制度,掌握企業目前使用的碳排計算工具與標準方法,碳排放計算基於活動數據 × 排放因子，例如 用電量（kWh）× 電力排放因子（kgCO₂/kWh）。小型餐廳可使用政府提供的排放計算工具，而連鎖餐飲或大型品牌則需建立內部數據庫，或參考 ISO 14064 進行標準化計算，以確保數據準確性與一致性。,使用簡單計算公式,例如：燃氣消耗量（m³） × 排放因子，即可估算排放量。,內部建立完整計算系統,設有能源與碳排放數據管理機制，提升盤查效率。,參考 ISO 標準進行計算,依據 ISO 14064 或 GHG Protocol，確保計算符合國際標準。,依外部顧問協助計算,若內部無專業能力，可聘請顧問協助計算與優化碳管理。,不知道/不確定,可從能源帳單、食材進貨數據等開始收集基本盤查數據。,是否了解常見的碳排計算公式？是否知道活動數據如何與排放係數相乘？,TRUE,TRUE,請描述您對排放計算的理解，或是否曾使用過任何計算工具,計算邏輯與方法基礎,建立排放計算公式中「活動數據 × 排放係數」的核心觀念,"排放計算, 乘法原理, 活動數據, 排放係數",
S012,餐飲業,減排措施的實施計劃如何？,排放源辨識與確認,single,intermediate,減排行動與實施現況,確認企業目前是否已有明確減碳計畫與實行基礎,減排行動包括能源優化、省電、燃油效率提升 等策略。例如，透過更換 LED 照明、使用節能設備、減少食材浪費或改用綠電來降低碳排放。餐廳應根據營運模式制定短中長期的減排計劃，確保可行性與效果。,沒有特定計畫,目前尚未制定任何減排策略，可能影響未來法規符合性。,初步討論減排方向,已經有減排構想，但尚未落實具體行動。,已制定具體措施,例如已更換節能設備、導入再生能源、減少塑膠包裝等。,具體執行並監測成效,有監控碳排放變化，例如每月追蹤能源使用數據。,不知道/不確定,可先從能源帳單、物流運輸數據開始盤點，找出減排機會。,是否有具體的減排方案？是否分階段實施或設有時間表？,TRUE,TRUE,請分享目前的減排措施（如更換設備、節能行為等）是否有規劃執行進程,減排行動與計劃設計,建立減排措施的制度化規劃思維與推進階段意識,"減排行動, 實施計劃, ESG策略",
