question_id,industry_type,question_text,topic_category,option_type,difficulty_level,report_section,learning_objective,question_note,option_A,option_A_note,option_B,option_B_note,option_C,option_C_note,option_D,option_D_note,option_E,option_E_note,follow_up,allow_custom_answer,allow_skip,free_answer_note,report_topic,learning_goal,answer_tags,,
B006,製造業,是否已設定減排目標與時間表？,邊界設定與組織資訊,single,intermediate,減排目標與時間進程,能理解企業是否具備可量化與可追蹤的減排目標,製造業應結合政府法規與市場趨勢，制定減排目標。碳費徵收與國際供應鏈要求日益嚴格，中小型製造企業需提前制定應對策略。例如，企業可設定 2025 年減碳 10%、2030 年使用 50% 再生能源，以降低未來營運風險並提升 ESG 表現。透過提升能源效率、優化製造流程或導入低碳設備，企業不僅可降低營運成本，也能符合國際品牌的綠色供應鏈標準，增加市場競爭力。,沒有設定,企業未設置減碳目標與時間表，可能導致缺乏方向與激勵措施。,設定初步方向但未明確,企業有初步的減排方向，但尚未設定具體目標與時間表。,有減排目標但無時間表,企業已確定減碳目標，但未明確設定達成的時間框架。,已設定明確目標與執行時程,企業已設立明確的減碳目標與時間表，並規劃具體的減排行動。,不知道/不確定,若不確定，建議先設定短期與長期的減排目標，再設立具體執行計劃。,"是否有數值目標與完成時程？, 是否分階段？",FALSE,TRUE,可說明目前設定的排放減量與目標年度,減碳目標與推進時程,確認企業是否已制定減排目標與可量化時間表,"減碳目標, KPI設定, 時程規劃",,
B007,製造業,外部利益相關者對碳盤查報告的需求？,邊界設定與組織資訊,single,intermediate,報告義務與合規揭露,判斷企業是否涉及外部揭露義務，並準備報告制度,碳排放報告需求依政府法規或供應鏈要求而定。部分企業受到強制性規範，如《氣候變遷因應法》要求排放達門檻的企業需提交碳盤查報告，而部分企業則因供應商要求（如國際品牌）須提供排放數據。例如，電子製造業的供應商需符合 Apple、Tesla、Sony 等大廠的 ESG 標準，否則可能面臨失去訂單的風險。,不需要報告,企業未考慮外部報告需求，僅專注於內部數據管理與報告。,內部年度報告,企業定期生成內部報告，未對外公布，僅供內部使用。,依客戶要求提供報告,企業根據客戶要求提供碳排放報告，確保符合外部需求。,依法需定期報告,根據政府法規或合規性要求，企業需定期提交碳排報告。,不知道/不確定,若不確定，應先確定是否有法律要求或客戶需求，然後制定報告計劃。,"是否為客戶要求？政府回報？供應鏈查核？, 是否需年度揭露？",TRUE,TRUE,可列出需回應的對象與頻率,對外揭露與利害關係溝通需求,評估企業是否面對來自外部的 ESG 檢視與報告壓力,"客戶要求, 碳揭露, ESG壓力",,
B008,製造業,行業特定的 GHG 排放挑戰有哪些？,邊界設定與組織資訊,multiple,intermediate,碳盤查挑戰診斷,協助企業盤點內部最難以掌握或處理的盤查障礙,製造業碳排放主要來自生產過程、供應鏈原料碳足跡與物流運輸。生產過程中的電力與燃氣消耗通常占企業總排放量的 50% 以上，因此設備效率與能源管理是減碳的核心。企業可考慮導入再生能源（如太陽能或綠電採購），或使用高效能機械降低能耗。此外，供應鏈原料的選擇也影響碳足跡，例如選擇低碳鋼材或本地採購可減少排放。,主要來自能源使用,生產過程的能源消耗（如電力與燃氣）是最大的碳排放來源之一。,物流運輸碳排,物流運輸過程中的燃料消耗，尤其是長途運輸與油耗，會增加碳排放。,供應鏈碳足跡,原材料的選擇與供應商的排放源會影響整體產品的碳排放。,製程與廢棄物處理,生產過程中的廢棄物管理與回收過程也會對碳排放產生影響。,,,是否與高耗能製程、排放設備、燃料使用或原料來源有關？,TRUE,TRUE,可說明目前最具挑戰的排放來源或作業環節,製造業 GHG 特性與挑戰分析,協助辨識產業特殊排放熱點與排放管理困難點,"製程熱點, 範疇一, 行業痛點",,
B009,製造業,公司過去有無碳盤查或相關訓練經驗？,邊界設定與組織資訊,single,beginner,永續經驗與前期基礎,評估企業是否具備碳盤查與永續管理的基礎歷程,若企業過去無碳盤查經驗，則需額外的訓練與輔導。中小型企業往往缺乏內部碳管理專才，因此在初期應建立基礎能力，例如學習碳盤查方法、數據收集流程及 ISO 14064-1 標準應用。企業可參加政府或產業提供的 ESG 輔導計畫，或與顧問合作，確保數據準確性與合規性。曾執行盤查的企業則可利用歷史數據進行對比分析，找出碳排放趨勢，進一步優化減碳策略。,沒有經驗,企業無碳盤查經驗，需額外進行訓練與輔導。,曾參加基礎訓練,企業曾進行基礎碳盤查訓練，需進一步提升專業能力。,內部曾執行碳盤查,企業已經進行過碳盤查，可依照歷史數據分析未來減碳機會。,由第三方協助執行,企業曾由第三方顧問協助進行碳盤查，提供專業建議。,不知道/不確定,若不確定，建議參加基礎訓練或聘請顧問來建立碳盤查能力。,是否曾參與專案、顧問、內部教育或補助申請？,TRUE,TRUE,可列出曾執行的盤查或教育活動名稱,碳盤查經驗與 ESG 能力準備,評估企業對碳盤查與 ESG 識能的實務經驗基礎,"ESG訓練, 碳盤查經驗, 能力建構",,
B010,製造業,公司內部是否有明確的部門職責分工與盤查責任指派？,邊界設定與組織資訊,single,beginner,責任分工與管理制度,確認企業是否已建立專責人力與內部組織機制,明確的職責分工能提升碳盤查效率與數據準確性。企業若無明確的數據收集與管理機制，可能導致資訊不完整，影響報告品質。建議企業指定專責人員，負責數據整理、盤查計算與報告撰寫，並與各部門協調數據收集。例如，生產部門提供設備用電數據，採購部門提供原物料碳足跡資訊，物流部門負責運輸碳排數據等。透過 SOP（標準作業程序）建立明確流程，企業可確保碳盤查準確性，並有效管理減碳行動。,沒有明確分工,企業未設立專職碳管理部門或責任分工，數據管理可能缺乏一致性。,有初步分工但無正式文件,企業已指定某些部門負責數據收集，但無正式文件規範職責。,已建立正式分工與職責說明,企業已設立正式的碳盤查部門與責任人，數據收集與管理具體化。,不知道/不確定,若不確定，建議首先建立基本的分工與職責規範，再逐步完善。,,,是否由廠務、品保、環安衛等單位分工？是否跨部門協作？,FALSE,TRUE,可說明各部門負責內容與報表整合機制,職責分工與內部盤查組織制度,建立碳管理在組織內的制度與責任機制認知,"ESG分工, 部門責任, 盤查制度",,
S001,製造業,溫室氣體排放的主要來源是什麼？,排放源辨識與確認,multiple,beginner,排放源分類診斷,能辨識公司溫室氣體的各類主要排放來源,碳排放可分為範疇一（燃料燃燒）、範疇二（用電）、範疇三（供應鏈）。確認主要來源可幫助企業精準減排。範疇一（Scope 1）為企業直接排放，如燃燒天然氣、柴油、鍋爐或工業設備運行時產生的排放。範疇二（Scope 2）則是企業購買電力或蒸汽所造成的間接排放，減少範疇二碳排的方法包括採購再生能源、提高電力使用效率等。範疇三（Scope 3）涵蓋供應鏈活動，如原料採購、物流運輸、產品生命週期碳排放等，通常占企業總排放量的 50% 以上。,能源使用,包括燃料、電力等，這些是排放的主要來源。,運輸物流,包括員工通勤、物流運輸等排放，屬範疇三。,供應鏈,原材料的選擇與供應商的碳排放也會影響整體碳足跡。,製程設備,包括各種生產設備、機械等，直接消耗能源，產生碳排放。,建築物與設施,包括工廠及辦公區域的能耗等，也會貢獻碳排放。,是否來自製程燃燒、用電、設備冷卻或物料轉化？,FALSE,TRUE,可列出主要排放設備與製程,排放熱點盤點與來源辨識,建立對製造營運中主要排放源的基礎認知,"範疇一, 範疇二, 製程排放",,
S002,製造業,主要能源使用有哪些？,排放源辨識與確認,multiple,beginner,能源使用盤點,理解公司能源使用結構，為盤查提供基礎依據,企業的能源使用方式影響碳排放，電力屬於範疇二，而燃料燃燒（如天然氣、柴油）屬於範疇一。中小型製造業的主要用能方式通常包括工業用電（機械設備運轉）、鍋爐燃燒燃料、廠區內物流運輸（如柴油堆高機）、冷卻與加熱系統等。若企業能夠降低電力使用，例如安裝高效能機械設備、優化生產流程或導入太陽能、綠電購電機制，則可有效減少範疇二的碳排放。同時，企業應監測燃料燃燒的排放數據，評估是否能使用更清潔能源（如天然氣取代柴油、改用電動設備），以進一步降低碳足跡。,電力,用於工廠與設備運轉，屬範疇二的間接排放。,天然氣,主要用於燃燒設備，如鍋爐、發電機，屬範疇一的直接排放。,柴油,物流運輸（卡車）及設備燃料，屬範疇一的排放。,汽油,主要用於小型設備與車輛，通常不占主要碳排放來源。,煤炭,用於工業生產，較少使用，但碳排放較大。,是否為電力、蒸氣、天然氣、柴油或其他？,FALSE,TRUE,可說明目前使用最多的能源形式,能源結構與使用行為識別,協助掌握能源型態分布，利於計算基礎排放與節能潛力,"電力使用, 熱能來源, 範疇二",,
S003,製造業,公司營運中是否有直接燃料燃燒？,排放源辨識與確認,single,beginner,直接排放辨識,判斷公司是否有來自燃燒設施的直接排放來源,燃料燃燒產生範疇一排放，企業應監測設備使用情況，如燃燒效率與低碳燃料替代方案。生產設備、鍋爐與內燃機等設備的燃燒效率對碳排放有直接影響。企業可透過定期檢測燃燒設備效能、調整燃燒參數（如空燃比）、導入廢熱回收系統來減少燃料消耗。此外，部分企業可考慮使用生質燃料或氫能等低碳能源，逐步降低範疇一排放。例如，改用 LNG（液化天然氣）取代柴油可減少 20-30% 的碳排放，或使用生質柴油（Biodiesel）來降低燃燒過程中的碳足跡。能源替代方案的選擇需視企業成本、技術可行性與法規要求而定。,沒有,無燃料燃燒設備，碳排放來自其他源。,只有少量（如瓦斯爐）,部分設備使用小量燃料，排放量較小。,有固定設備燃燒（如鍋爐、發電機）,企業使用固定設備，如鍋爐或發電機，排放量較大。,有大型燃燒設施（如工廠熔爐）,企業擁有大型燃燒設備，排放量較為顯著。,不知道/不確定,若不確定，建議定期檢測設備，了解燃燒源與排放情況。,是否有鍋爐、窯爐、發電機或其他直接燃燒設備？,TRUE,TRUE,可列出高排放設備與用途,直接排放來源與設備辨識,辨識企業是否有範疇一直接排放行為與重點設備,"燃料燃燒, 範疇一, 高耗能製程",,
S004,製造業,是否擁有自有車隊或外包物流服務？,排放源辨識與確認,single,beginner,運輸排放盤點,探討公司運輸與物流行為對碳排放的關聯,物流碳排可分為範疇一（自有車隊燃油消耗）與範疇三（外包物流），企業應確保供應商提供碳足跡報告。若企業擁有自有車隊，如貨車、叉車、內部運輸工具等，應計算其燃油使用量與碳排放，並考慮導入節能駕駛技術、車隊調度優化，甚至逐步電動化車輛來降低碳排放。對於外包物流（範疇三），企業應要求物流供應商提供詳細的碳排數據，例如貨運公司應提供每趟貨運的油耗、排放量與運輸距離。企業亦可透過物流減碳策略（如共用運輸、減少空車運輸、使用電動貨車）來降低整體供應鏈碳排。,沒有,企業不擁有車隊或不涉及物流運輸。,使用外包物流,企業外包物流給第三方，需要求其提供碳排數據。,自有車隊,企業有自己的車隊，需要計算自有車隊的碳排放。,兩者皆有,企業同時擁有自有車隊與外包物流，需兩者共同計算碳排放。,不知道/不確定,若不確定，建議從自有車隊或物流供應商提供數據開始。,是否物流為自營、委外或混合？是否含國內外運輸？,TRUE,TRUE,可列出車型、距離與物流型態,物流活動碳排與排放計算範圍,確認企業物流活動是否為主要排放源之一,"委外物流, 範疇三, 燃料運輸",,
S005,製造業,是否存在原物料採購？,排放源辨識與確認,single,beginner,採購鏈碳排影響,理解企業在供應鏈中採購行為對碳排的影響,供應鏈碳足跡來自原料生產、加工與運輸，企業應評估供應商的碳排放數據，並選擇低碳供應鏈。企業的採購決策對碳排放影響甚大，低碳供應鏈策略可包括選擇當地供應商（降低運輸碳排）、採購可回收或再生材料、與供應商合作提升生產效率等。例如，金屬加工業可選擇低碳鋼材或回收鋁合金來降低原料排放，而塑膠製造業可選擇生物可分解塑料來減少環境影響。此外，企業可考慮要求供應商提供 ISO 14067 產品碳足跡報告，確保產品碳排符合國際標準，進而提高綠色供應鏈的競爭力。,沒有,企業無原物料採購，碳排放主要來自其他活動。,少量採購,採購原料數量較少，排放影響不大。,大量採購並影響營運,企業大量採購原料，對碳排放影響顯著，應優化採購策略。,不知道/不確定,若不確定，建議從採購部門收集數據，評估供應商碳足跡。,,,是否為原物料、半成品、自製品或品牌代工項目？,TRUE,TRUE,可說明是否為固定供應商或依案採購,原料來源與範疇三排放熱點,探討原物料採購在企業碳足跡中的角色與盤查依據,"範疇三, 採購行為, 原料來源",,
S006,製造業,是否使用大量包裝材料？,排放源辨識與確認,single,beginner,範疇三排放與包裝碳足跡,辨識包裝材料對企業碳排的潛在影響與改善方向,包裝屬於範疇三排放，企業可透過減少過度包裝、使用可回收材料或推動循環經濟來降低排放。過度包裝不僅增加材料使用，也提高供應鏈碳排放，例如塑膠、紙箱、木箱的生產與運輸都會產生額外的碳足跡。企業可評估包裝優化策略，如使用輕量化材料、改用可回收或生物降解包裝，並與供應商合作減少包裝層數。此外，企業可透過包裝再利用，如鼓勵客戶回收包裝、提供可重複使用的運輸箱，降低碳足跡。,沒有,企業不使用包裝材料，或僅使用少量包裝，排放較低。,少量使用,企業少量使用包裝材料，但仍可進行優化以減少碳排放。,主要產品需大量包裝,企業產品使用大量包裝材料，可能會顯著增加碳排放。,影響環保與回收計劃,包裝廢棄物量大，影響企業的 ESG 目標與環保政策，需改進。,不知道/不確定,若不確定，建議檢視包裝材料的使用與回收政策，優化方案。,"是否為內包、外包或出貨運輸包裝？, 是否為塑膠、紙箱或複合材？",TRUE,TRUE,可說明包裝材質、用途與使用場景,包裝設計與材料使用診斷,辨識企業製程中是否涉及高碳包裝環節，有助盤點改善潛力,"包裝材料, 範疇三, 材料使用量",,
S007,製造業,是否有大量廢棄物處理需求？,排放源辨識與確認,single,beginner,廢棄物管理與碳排放,理解廢棄物種類與處理方式對碳排的影響,若企業未妥善處理廢棄物，可能產生額外碳排放，應建立減廢、回收與再利用機制。製造業的主要廢棄物來源包括邊料、報廢產品、包裝材料與工業污泥，若未進行分類回收，可能導致焚燒或掩埋排放增加碳足跡。企業可透過源頭減量（如優化生產流程降低邊料）、廢棄物分類（如分離可回收金屬與塑膠）、建立回收再利用機制（如將塑膠粉碎後再製產品），有效降低碳排放。,沒有,企業未產生大量廢棄物，對碳排放影響較小。,只有基本生活廢棄物,企業僅處理日常生活廢棄物，未進行專業的廢棄物管理。,主要營運過程產生大量廢棄物,企業生產過程中會產生大量廢棄物，需進行專業處理與回收。,需特殊處理（如化學廢棄物）,企業產生特殊廢棄物（如化學廢棄物），需特別處理與管理。,不知道/不確定,若不確定，建議了解廢棄物來源與處理方式，提升管理效果。,是否為製程中、成品端或儲運作業產生？,TRUE,TRUE,可描述產生廢棄物的類型與處理方式,廢棄物類型與處理數據盤點,評估製造業在不同階段產生廢棄物的規模與管理成熟度,"廢棄物來源, 工廠端排放, 碳盤查資料",,
S008,製造業,是否有用水量大或特殊污水排放需求？,排放源辨識與確認,single,beginner,水資源使用與處理排放,認識用水與污水處理在碳管理中的角色,水資源使用與碳排放相關，如熱水加熱、污水處理等，應透過水回收與節水技術來降低碳足跡。製造業生產過程常需大量用水，如清洗、冷卻、製程用水等，若無妥善管理，會增加碳排放。例如，污水處理過程中的曝氣與污泥處理需耗費大量能源，產生額外碳排放。企業可透過節水技術（如安裝節水閥、回收製程冷卻水、導入雨水回收系統），減少水資源消耗。同時，應定期監測水資源使用效率，如單位生產耗水量（L/unit），確保水資源管理符合環保標準。,沒有,企業無大量水資源使用，對碳排放影響較小。,基本用水需求,企業有基本的水資源需求，但管理無需特別處理。,主要作業依賴大量用水,企業生產過程中需大量用水，排放與水資源使用關聯密切。,產生污水需特殊處理,企業產生污水並需進行專業處理，需考慮減少水資源使用與碳排放。,不知道/不確定,若不確定，建議檢視水資源使用與污水處理過程，進行改進。,是否有清洗、染整、冷卻、化學處理等高用水單元？,TRUE,TRUE,若有特殊設備請描述用途與水量需求,用水與污水處理排放識別,辨識是否存在非典型排放（如含化學物質、熱排水等）,"高耗水, 污水排放, 製程用水",,
S009,製造業,是否有其他特殊排放源？,排放源辨識與確認,single,beginner,特殊排放源鑑別,能辨識冷媒或化學品等非典型排放源與管理需求,"冷媒（HFCs、PFCs）與化學品使用可能產生高 GWP（全球變暖潛勢）排放，應監控冷媒洩漏與更換，並考慮低 GWP 替代方案，如 R-32 冷媒或 CO₂ 冷媒。製造業的冷藏設備、空調、工業製程用冷卻系統可能使用高 GWP 冷媒，如 HFC-134a，其 GWP 值高達 1,430，遠高於 CO₂（GWP = 1）。企業應定期檢查冷媒洩漏，並逐步汰換高 GWP 冷媒，如改用 R-32（GWP = 675）或自然冷媒 CO₂（GWP = 1），降低對氣候變遷的影響。",沒有,企業未使用冷媒或化學品，無特殊排放源。,冷媒使用量少,冷媒或化學品的使用量較少，對碳排放影響不大。,冷媒與化學品使用量大,企業使用大量冷媒或化學品，需進行排放監控與替換。,需特別管理,企業需特別管理冷媒與化學品使用，避免洩漏與高排放。,不知道/不確定,若不確定，應檢查設備中使用的冷媒類型與數量，並計算相關排放。,是否有冷媒、鍍膜、化學製程、壓縮氣體等特殊排放物？,TRUE,TRUE,可列出特殊原料或製程可能產生的非典型排放,特殊設備與潛在排放源識別,協助補足傳統盤查未納入的高排放製程或設備,"特殊氣體, 非常規排放, 設備盤點",,
S010,製造業,使用的排放因子來源是什麼？,排放源辨識與確認,single,intermediate,排放因子資料依據,了解碳排資料計算依據是否具權威性與一致性,排放因子是碳盤查計算的關鍵，應優先使用政府與國際標準（如 IPCC、ISO 14064）數據，或內部測量數據，確保計算精準度。排放因子用於量化不同能源與活動產生的碳排放，例如台灣每 kWh 用電排放因子約 0.509 kgCO₂e（2023 年數據）。企業可參考政府環保署、IPCC 指南、GHG Protocol、ISO 14064 計算方法，確保碳盤查符合標準。例如，若企業每月耗電 10 萬 kWh，其二氧化碳排放量 = 10 萬 kWh × 0.509 kgCO₂e/kWh = 50.9 噸 CO₂e。若使用可再生能源，則可顯著降低範疇二排放。,政府官方數據庫,使用政府與國際數據庫，確保計算的碳排放精確性。,產業報告數據,參考產業內的標準報告數據，進行行業對標計算。,內部監測數據,使用內部數據，如機器設備效能數據，進行排放因子計算。,參考國際標準,參照 ISO 14064 或 IPCC 指南來計算碳排放，確保符合國際標準。,不知道/不確定,若不確定，應參考政府或國際標準，選擇最合適的排放因子來源。,是否採用預設值、政府係數、ISO 規範或自建因子？,FALSE,TRUE,可說明目前主要使用的排放係數來源,排放因子來源與計算依據,評估排放計算的準確性與報告可比較性,"排放因子, 政府係數, GHG標準",,
