question_id,industry_type,question_text,topic_category,option_type,difficulty_level,report_section,learning_objective,question_note,option_A,option_A_note,option_B,option_B_note,option_C,option_C_note,option_D,option_D_note,option_E,option_E_note,follow_up,allow_custom_answer,allow_skip,free_answer_note,report_topic,learning_goal,answer_tags,,
B006,零售業,有沒有減排目標和時間表？,邊界設定與組織資訊,single,intermediate,減排目標與時間進程,能理解企業是否具備可量化與可追蹤的減排目標,設定減排目標有助於零售企業提升 ESG 表現，並符合消費者與投資者對環保的期待。建議設定短中長期目標，如短期目標（更換 LED 照明、提升能源效率）、中期目標（增加綠電使用、優化供應鏈減碳），以及長期目標（達成碳中和目標）。明確的時程規劃可使企業更容易落實減排行動。,沒有設定,企業尚未設定具體減排目標，可能影響 ESG 競爭力。,設定初步方向但未明確,企業已有減排構想，但未設定具體的數據目標與執行時程。,有減排目標但無時間表,企業已制定減碳計畫，但缺乏明確的執行時間點與 KPI。,已設定明確目標與執行時程,企業已制定 2025 或 2030 減碳目標，並設有定期監測機制。,不知道/不確定,應確認企業的減排規劃，確保目標具體且可衡量。 ,"是否設定具體數值？, 是否列入年度目標或 ESG 報告？",FALSE,TRUE,若尚未設定可填「尚在規劃中」,減碳目標與推動期程,確認企業是否設定清晰減碳期程，有助推進與稽核,"減碳目標, 排程規劃, ESG KPI",,
B007,零售業,外部利益相關者報告頻率如何？,邊界設定與組織資訊,single,intermediate,報告義務與合規揭露,判斷企業是否涉及外部揭露義務，並準備報告制度,零售業是否需提交碳排放報告取決於市場與法規要求。例如，上市零售企業可能需要依據 ESG 法規定期披露碳排數據，而部分供應鏈夥伴（如國際品牌）也可能要求零售商提供碳排放報告。建立報告機制有助於提高企業透明度並增強競爭力。,不需要報告,企業內部 ESG 盤查主要用於內部管理，不對外披露。,內部年度報告,企業每年進行 ESG 內部報告，但未對外公開。,依客戶要求提供報告,部分供應鏈夥伴（如品牌商）要求提供 ESG 數據，以確保供應鏈減碳符合標準。,依法需定期報告,企業須依照當地 ESG 法規，每年或每季提交碳排放報告。,不知道/不確定,應確認企業是否受 ESG 法規影響，並確保合規。 ,是否向母公司、品牌商、主管機關或公開揭露？,FALSE,TRUE,可填報告頻率（如每年一次、半年一次）,對外揭露與利益關係溝通,評估企業對外揭露義務與 ESG 溝通頻率,"ESG揭露, 利害關係人, 品牌回報",,
B008,零售業,行業特定的 GHG 挑戰有哪些？,邊界設定與組織資訊,multiple,intermediate,碳盤查挑戰診斷,協助企業盤點內部最難以掌握或處理的盤查障礙,零售業的碳排放挑戰主要來自門市用電、物流運輸、供應鏈碳足跡。例如，大賣場與百貨公司的空調、照明與電器設備消耗大量能源，而電子商務則需管理倉儲、包裝與配送物流產生的排放。了解這些挑戰有助於制定有效的減碳策略，如改用綠電、提升物流效率、減少過度包裝。,主要來自能源使用,門市照明、冷藏、空調等設施的能源使用是零售業的主要排放來源之一。,物流運輸碳排,配送物流與長距離運輸的碳排放佔零售業供應鏈碳排的重要部分。,供應鏈碳足跡,商品生產與運輸過程的碳排放影響零售企業的 ESG 表現。,建築與設備碳排,大型賣場與購物中心的建築設備（如電梯、空調）碳排放量高。,廢棄物與回收處理,產品包裝、食品過期與退貨商品的廢棄物管理是零售業的關鍵挑戰之一。,是否與物流、冷鏈、一次性包裝、退換貨等有關？,TRUE,TRUE,可說明你們遇到最難解的排放問題,零售業 GHG 特性辨識,協助辨識零售業常見但易被忽略的排放挑戰,"冷鏈物流, 包裝浪費, 範疇三難點",,
B009,零售業,公司過去有無碳盤查或相關訓練經驗？,邊界設定與組織資訊,single,beginner,永續經驗與前期基礎,評估企業是否具備碳盤查與永續管理的基礎歷程,若零售企業過去無碳盤查經驗，應先從基礎數據收集（如用電、運輸）開始，再逐步提升至完整的 ESG 碳管理框架。有經驗的企業可利用歷史數據追蹤減排行動成效，並透過第三方驗證提升報告可信度，以符合市場與投資者要求。,沒有經驗,企業從未執行碳盤查，需從基本數據收集開始，如能源使用與物流排放。,曾參加基礎訓練,企業內部有基礎 ESG 訓練，但尚未完整執行碳盤查。,內部曾執行碳盤查,企業內部有完整盤查數據，並定期追蹤減碳行動。,由第三方協助執行,企業已委託 ESG 顧問或專業機構進行碳盤查，提高數據的準確性與可信度。,不知道/不確定,可從過往的能源帳單、供應鏈報告等資料檢視是否曾有盤查紀錄。,"是否由品牌方、母公司或政府單位推動？, 是否內部自發？",TRUE,TRUE,可填歷年執行過的訓練或盤查經驗,ESG 實務基礎與導入歷程,評估企業是否已接觸或參與過 ESG 與碳管理相關計畫,"過往訓練, 碳盤查經驗, ESG導入準備",,
B010,零售業,公司內部是否有明確的部門職責分工與盤查責任指派？,邊界設定與組織資訊,single,beginner,責任分工與管理制度,確認企業是否已建立專責人力與內部組織機制,明確的部門職責有助於確保碳盤查的完整性。零售業的碳管理責任可由環安部門、物流管理、採購部門共同負責，例如門市負責用電與廢棄物數據，物流部門負責運輸排放，採購部門管理供應鏈碳足跡，確保數據透明與管理效率。,沒有明確分工,碳盤查工作未指派特定部門，可能影響數據完整性與準確性。,有初步的分工但無正式文件,部分部門負責 ESG 相關工作，但無明確職責與文件規範。,已建立正式分工與職責說明,企業已制定 ESG 團隊職責，確保碳排數據的完整性與可追蹤性。,不知道/不確定,可從內部組織架構與 ESG 報告確認是否有明確的職責分工。,,,"是否有跨店統一機制？, 是否明確指派職責？",FALSE,TRUE,可說明負責部門與對應作業模式,ESG 職責分工與制度設計,評估企業是否已建立穩定的責任體系，利於長期落實,"職責分工, 責任制度, ESG執行機制",,
S001,零售業,溫室氣體排放的主要來源是什麼？,排放源辨識與確認,multiple,beginner,排放源分類診斷,能辨識公司溫室氣體的各類主要排放來源,零售業碳排放可分為範疇一（直營物流車隊）、範疇二（店鋪與倉儲用電）、範疇三（供應鏈碳足跡）。例如，超市的冷藏設備、高能耗照明，或電子商務的運輸與包裝，都是主要排放來源。釐清主要排放源有助於企業制定減碳策略，如提升能源管理、改用低碳物流、導入環保包裝等。,能源使用,門市空調、照明、冷藏設備的電力與燃氣消耗。,運輸物流,物流配送、門市補貨、快遞運輸的燃油排放。,供應鏈,商品製造、包裝、倉儲與分銷的碳排放。,建築設備,購物中心、倉儲與門市的暖氣、冷氣與照明碳排放。,廢棄物與回收,包裝、塑膠袋、紙類廢棄物的處理與回收排放。,"哪些來自照明、冷氣、冷藏？, 哪些來自供應鏈與包材？",FALSE,TRUE,可說明營運面或商品面相關的來源,排放盤點與熱點辨識,協助使用者辨識營運主要排放點，作為初步盤查切入點,"範疇二, 範疇三, 零售排放熱點",,
S002,零售業,主要能源使用有哪些？,排放源辨識與確認,multiple,beginner,能源使用盤點,理解公司能源使用結構，為盤查提供基礎依據,零售業的主要能源消耗來自門市、倉儲與物流，如百貨公司、購物中心需要大量電力供應空調與照明，而超市的冷凍庫與物流車隊也消耗大量能源。企業可透過購買綠電、提升能源效率（如 LED 照明）或導入智慧能源管理系統，降低能源使用並減少碳排放。,電力,商場、超市、便利商店的主要能源來源，驅動照明、冷氣與電子設備。,天然氣,部分門市或超市使用天然氣供應鍋爐與烹調設備。,柴油,物流運輸、發電機與部分店內設備使用柴油燃料。,汽油,企業車輛、配送車與高載重貨車的燃油排放。,綠電（太陽能、風能）,部分企業透過購買綠電或自建太陽能設備來減少碳排放。,是否有電力、瓦斯、冷氣或冷藏設備？,FALSE,TRUE,可填寫目前主要使用的能源種類,能源盤點與基礎排放量掌握,掌握零售營運中常見能源使用型態，有利後續計算排放量,"電力使用, 冷氣用能, 基礎能源來源",,
S003,零售業,公司營運中是否有直接燃料燃燒？,排放源辨識與確認,single,beginner,直接排放辨識,判斷公司是否有來自燃燒設施的直接排放來源,燃料燃燒屬範疇一排放，零售業主要來自於暖氣系統、備用發電機及店內設備（如烘焙機、烹調設備）。若門市或物流倉儲使用天然氣鍋爐或柴油發電機，需監控燃料消耗，並考慮使用更高效低碳能源（如熱泵技術、電能設備）。,沒有,企業僅使用電力與外購能源，無直接燃料燃燒設備。,只有少量（如備用發電機）,店內僅有少量柴油或天然氣設備，如發電機或應急供電系統。,有固定設備燃燒（如鍋爐、暖氣系統）,企業使用燃氣鍋爐、烘焙設備、中央供暖系統等燃燒設備。,有大型燃燒設施（如中央能源站）,企業擁有能源站或自有燃燒設備，影響範疇一碳排放。,不知道/不確定,應確認企業是否有使用燃料設備，如鍋爐或發電機。,是否有店內使用瓦斯、備用發電機、加熱設備等？,TRUE,TRUE,可說明是否曾有燃燒行為或設施,直接排放來源識別,確認零售營運中是否存在範疇一直接燃料排放,"範疇一, 燃料使用, 直接碳排",,
S004,零售業,是否擁有自有車隊或外包物流服務？,排放源辨識與確認,single,beginner,運輸排放盤點,探討公司運輸與物流行為對碳排放的關聯,物流運輸是零售業的主要碳排放來源，若企業擁有直營車隊（範疇一），需監測車輛燃油使用並考慮電動或混合動力車。若使用外包物流（範疇三），應要求供應商提供碳足跡報告，並考慮合作低碳運輸服務商，如 DHL 綠色物流或 UPS 環保配送計畫。,沒有,企業無自有車隊，所有物流皆由外包供應商處理。,使用外包物流,物流配送由第三方供應商負責，如貨運公司、快遞服務商。,自有車隊,企業擁有自有物流車隊，應監控燃油消耗與減碳策略。,兩者皆有,企業同時使用外包物流與自有配送車輛，需管理雙重碳排放來源。,不知道/不確定,應確認企業是否有自有車隊，並記錄運輸方式與油耗數據,"是否為第三方物流？, 是否含冷鏈或末端配送？",TRUE,TRUE,可列出主要合作廠商與運輸模式,外包運輸與物流排放,確認物流是否屬於企業營運碳排來源，特別是範疇三,"委外物流, 冷鏈配送, 運輸碳排",,
S005,零售業,是否存在原物料採購？,排放源辨識與確認,single,beginner,採購鏈碳排影響,理解企業在供應鏈中採購行為對碳排的影響,供應鏈碳足跡佔零售業碳排放的很大比例（範疇三）。選擇本地供應商、減少高碳排放原料（如進口冷凍食品、長途運輸商品）可降低供應鏈排放。例如，服飾零售可選擇永續紡織品，超市則可優先採購低碳農產品來降低排放。,沒有,零售業主要經銷現成商品，無需原物料採購。,少量採購,部分產品需自行採購原物料，如餐飲零售、食品加工等。,大量採購並影響營運,企業的大部分產品來自原物料加工，如服飾、食品、生鮮零售等，供應鏈碳排影響顯著。,不知道/不確定,可檢視企業供應商清單與採購數據，確認原物料的碳足跡影響。 ,,,"是否包含採購商品的上游原料？, 是否有自有開發商品？",TRUE,TRUE,可說明是否追溯至製造或農業端,採購類型與原料範疇三,確認零售企業是否納入上游原料排放評估,"原物料採購, 自有品牌, 範疇三上游",,
S006,零售業,是否使用大量包裝材料？,排放源辨識與確認,single,beginner,範疇三排放與包裝碳足跡,辨識包裝材料對企業碳排的潛在影響與改善方向,過度包裝會增加範疇三碳排放，尤其在電子商務與百貨零售業。企業可考慮減少一次性塑膠、改用再生紙、可降解塑膠，並推動循環包裝（如 Amazon Frustration-Free Packaging 計畫）。,沒有,零售業不涉及包裝，如部分食品市場與二手商品零售。,少量使用,僅有基本的產品包裝，如紙盒、玻璃瓶或可回收塑膠。,主要產品需大量包裝,如電子商務、超市、化妝品等零售業，使用大量一次性包裝。,影響環保與回收計劃,包裝廢棄物量大，影響企業的 ESG 目標與環保政策。,不知道/不確定,應檢視產品包裝材料與回收數據，以優化包裝策略。 ,是否含食品、服飾、日用品等一次性包裝？,TRUE,TRUE,可列出包材種類與用量估算方式,包裝設計與材料管理,辨識零售業包裝所造成的排放熱點與可改善項目,"包材使用, 過度包裝, 減塑空間",,
S007,零售業,是否有大量廢棄物處理需求？,排放源辨識與確認,single,beginner,廢棄物管理與碳排放,理解廢棄物種類與處理方式對碳排的影響,零售業的廢棄物來自庫存過剩、包裝廢棄物及電子產品回收。企業可透過減少庫存報廢、推動回收計畫，如 H&M 舊衣回收或 IKEA 的二手家具計畫，以減少垃圾掩埋與焚燒碳排放。,沒有,零售業的廢棄物產生量較低，如數位產品銷售與服務業。,只有基本生活廢棄物,如一般紙類、塑膠、廢紙箱，無特殊廢棄物。,主要營運過程產生大量廢棄物,如生鮮超市、電商倉儲，庫存報廢與過期食品浪費嚴重。,需特殊處理（如電子廢棄物）,如電器零售、家居用品，涉及電子廢棄物與特殊回收需求。,不知道/不確定,可檢視企業廢棄物記錄與回收計畫，確認碳排放影響。,是否為商品、外送、倉儲或消費者端產生？,TRUE,TRUE,可列出主要廢棄物分類與清運模式,廢棄物類型與處理需求,探討零售業各階段產生的廢棄物類型與處理機制,"廢棄物分類, 食品退貨, 包裝垃圾",,
S008,零售業,是否有用水量大或特殊污水排放需求？,排放源辨識與確認,single,beginner,水資源使用與處理排放,認識用水與污水處理在碳管理中的角色,零售業雖非高耗水產業，但大型購物中心、超市、洗車業務可能有大量用水需求。例如，超市冷藏設備、購物中心的空調與公廁用水可透過節水設備、回收水系統降低耗水量及間接碳排放。,沒有,零售業的主要業務不涉及大量用水，如服飾店與電子商務。,基本用水需求,如一般商場與超市，主要用於清潔與公共設施用水。,主要作業依賴大量用水,如洗車場、大型購物中心、超市冷藏設備，高耗水產業。,產生污水需特殊處理,如食品加工零售、洗車業務，需處理廢水排放與油脂回收。,不知道/不確定,應檢視水資源使用記錄與環保法規，以確保合規。 ,是否有中央廚房、試吃、清潔作業等？,TRUE,TRUE,若有特殊排放活動請簡要描述,用水與污水產生熱點,探討零售營運中是否有不易察覺的用水與排水排放點,"用水活動, 污水排放, 特殊設施",,
S009,零售業,是否有其他特殊排放源？,排放源辨識與確認,single,beginner,特殊排放源鑑別,能辨識冷媒或化學品等非典型排放源與管理需求,零售業的大型冷藏設備與空調系統會使用冷媒，其中 HFCs 具有高 GWP（全球變暖潛勢），影響溫室氣體排放。企業應定期檢查冷媒洩漏、改用低 GWP 冷媒（如 R-32、CO₂ 冷媒），並符合 F-Gas 規範。,沒有,零售業的營運中無特殊排放源，如一般商品零售店。,冷媒使用量少,如一般超市、便利商店，僅有少量冷藏設備。,冷媒與化學品使用量大,如大型超市、購物中心、冷鏈物流倉儲，需監測冷媒使用。,需特別管理,如特殊藥品儲存、低溫冷鏈倉儲，涉及高 GWP 冷媒的監控需求。,不知道/不確定,應檢視冷媒設備維護記錄，確保符合環保與碳管理要求。,是否有冷媒、瓦斯、發電機、冷凍設備等？,FALSE,TRUE,可列出需定期維護的排放相關設備,特殊設備與潛在排放源,確認企業是否有隱藏性高排放來源影響 ESG 報告精度,"冷媒外洩, 範疇一潛藏排放, 設備管理",,
S010,零售業,使用的排放因子來源是什麼？,排放源辨識與確認,single,intermediate,排放因子資料依據,了解碳排資料計算依據是否具權威性與一致性,排放因子是碳盤查計算的關鍵，零售業的排放來源如電力、物流運輸、冷鏈設備，應使用政府數據庫（如 EPA、DEFRA）、產業報告（如 CDP、GRI）、ISO 14064 計算標準，確保數據準確。,政府官方數據庫,使用國家環保機構發布的排放因子，如美國 EPA、英國 DEFRA，適用於國內合規要求。,產業報告數據,參考 CDP、GRI、SBTi 等報告，確保符合全球永續標準。,內部監測數據,自行測量並記錄企業能源與物流碳排放，適用於大型企業。,參考國際標準,使用 ISO 14064 或 GHG Protocol 來計算排放，確保全球一致性。,不知道/不確定,若不確定，可先參考政府數據庫，再進一步評估企業內部數據來源。,是否採用預設值、政府資料或自行建立？,FALSE,TRUE,可說明參考來源或依據,排放計算與因子參照來源,確認企業是否使用標準排放因子，利於報告比較與一致性,"排放因子, 參考資料, 計算基礎",,
S011,零售業,溫室氣體排放計算方法是什麼？,排放源辨識與確認,single,intermediate,排放計算方法與制度,掌握企業目前使用的碳排計算工具與標準方法,零售業碳排放計算 = 活動數據 × 排放因子。例如：電力使用（kWh） × 電網排放因子（kgCO₂/kWh），物流運輸可計算每公里 CO₂ 排放量。大型零售商可透過 ERP 碳盤查系統或 ISO 14064 方法學確保數據精準性。,使用簡單計算公式,直接乘以預設的排放因子，如電力使用 × 電網排放因子，適用於小型企業。,內部建立完整計算系統,企業內部開發計算工具，整合數據提高計算效率。,參考ISO標準進行計算,使用 ISO 14064 方法學，確保報告符合國際標準。,依外部顧問協助計算,委託 ESG 顧問公司執行碳盤查，確保數據準確性與合規性。,不知道/不確定,若不確定，可先使用簡單計算方法，再考慮建立內部系統或尋求外部協助。,是否使用 Excel、線上工具或碳盤查平台？,TRUE,TRUE,可描述目前常用的估算工具與欄位,排放計算方法與數據結構,確認企業是否已具備基礎計算邏輯與數據流程,"計算工具, 溫室氣體方法, GHG計算",,
S012,零售業,減排措施的實施計劃如何？,排放源辨識與確認,single,intermediate,減排行動與實施現況,確認企業目前是否已有明確減碳計畫與實行基礎,零售業減排行動可包含綠電採購、智慧照明（LED）、冷鏈設備節能、物流優化（減少貨車空載）。例如沃爾瑪（Walmart）推行零碳運輸計畫，IKEA 減少高碳包裝，這些策略均有助於降低企業碳足跡。,沒有,企業尚未規劃減排行動，可能影響 ESG 目標與法規合規性。,初步討論減排方向,已開始評估減排方案，如節能設備或低碳運輸，但未有具體執行計畫。,已制定具體措施,企業已決定執行減排行動，如提高能源效率、改用再生能源。,具體執行並監測成效,已有明確減排策略，並透過 IoT 或數據平台追蹤減排行動的成效。,不知道/不確定,若不確定，可先從小規模減排行動開始，例如改用 LED 照明或提升能源效率。,是否分階段執行？是否已有設備汰換、節能、包裝改善等行動？,TRUE,TRUE,可列出已實施或規劃中措施,減排行動規劃與推進方式,評估企業是否具備具體、可追蹤的減排行動計畫,"節能措施, 包材優化, 物流改善",,
